NAME,DESCRIPTION,DEVICE POOL,LOCATION,CONFERENCE BRIDGE TYPE,SERVER,SPECIAL LOAD INFORMATION,COMMON DEVICE CONFIGURATION,DEVICE SECURITY PROFILE,SUB UNIT,DEVICE PROTOCOL,USE TRUSTED RELAY POINT,SIP PROFILE,SIP TRUNK SECURITY PROFILE,SRTP ALLOWED,ALLOW CFB CONTROL OF CALL SECURITY ICON,DESTINATION ADDRESS,MCU CONFERENCE BRIDGE SIP PORT,USER NAME,PASSWORD,HTTP PORT,USE HTTPS,OVERRIDE SIP TRUNK DESTINATION AS HTTP ADDRESS,CONFRENCE BRIDGE PRIFIX,SIPTRUNK NAME,XML,HOSTNAME/IP ADDRESS 1
CFB_3,CFB_10.7.0.23,DP_Resource,Hub_None,Cisco Conference Bridge Software,napttpr16.caf.com,NULL,NULL,Non Secure Conference Bridge,0,Unicast Bridge,Default,NULL,Non Secure Conference Bridge,f,f,,,,,,,,,,NULL,
CFB_11,CFB_cdpttpr19.caf.com,DP_Resource,Hub_None,Cisco Conference Bridge Software,cdpttpr19.caf.com,NULL,NULL,Non Secure Conference Bridge,0,Unicast Bridge,Default,NULL,Non Secure Conference Bridge,f,f,,,,,,,,,,NULL,
CFB_6,CFB_10.7.0.26,DP_Resource,Hub_None,Cisco Conference Bridge Software,napttpr19.caf.com,NULL,NULL,Non Secure Conference Bridge,0,Unicast Bridge,Default,NULL,Non Secure Conference Bridge,f,f,,,,,,,,,,NULL,
CFB_9,CFB_cdpttpr17.caf.com,DP_Resource,Hub_None,Cisco Conference Bridge Software,cdpttpr17.caf.com,NULL,NULL,Non Secure Conference Bridge,0,Unicast Bridge,Default,NULL,Non Secure Conference Bridge,f,f,,,,,,,,,,NULL,
CFB_2,CFB_napttpr15,DP_Resource,Hub_None,Cisco Conference Bridge Software,CDPTTPR15.caf.com,NULL,NULL,Non Secure Conference Bridge,0,Unicast Bridge,Default,NULL,Non Secure Conference Bridge,f,f,,,,,,,,,,NULL,
CFBCDPTTPR29,CFB CMS Panamá,NULL,Hub_None,Cisco Meeting Server,NULL,NULL,NULL,NULL,0,SIP,Default,NULL,NULL,f,t,,,cucm,f3bdbf9842c21f3e180123fdf8883b663f3ed171137f97df10363294273485b3,445,t,f,,CDPTTPR29-SIP-TRUNK,NULL,CDPTTPR29.caf.com
CFB_8,CFB_cdpttpr16.caf.com,DP_Resource,Hub_None,Cisco Conference Bridge Software,cdpttpr16.caf.com,NULL,NULL,Non Secure Conference Bridge,0,Unicast Bridge,Default,NULL,Non Secure Conference Bridge,f,f,,,,,,,,,,NULL,
CFB_10,CFB_cdpttpr18.caf.com,DP_Resource,Hub_None,Cisco Conference Bridge Software,cdpttpr18.caf.com,NULL,NULL,Non Secure Conference Bridge,0,Unicast Bridge,Default,NULL,Non Secure Conference Bridge,f,f,,,,,,,,,,NULL,
CFB_5,CFB_10.7.0.25,DP_Resource,Hub_None,Cisco Conference Bridge Software,napttpr18.caf.com,NULL,NULL,Non Secure Conference Bridge,0,Unicast Bridge,Default,NULL,Non Secure Conference Bridge,f,f,,,,,,,,,,NULL,
CFB_4,CFB_10.7.0.24,DP_Resource,Hub_None,Cisco Conference Bridge Software,napttpr17.caf.com,NULL,NULL,Non Secure Conference Bridge,0,Unicast Bridge,Default,NULL,Non Secure Conference Bridge,f,f,,,,,,,,,,NULL,
CFBNAPTTPR29,CFB CMS Miami,NULL,Hub_None,Cisco Meeting Server,NULL,NULL,NULL,NULL,0,SIP,Default,NULL,NULL,f,t,,,cucm,64280efca474befc07950a4e0c5b881e526eaca21618a27ee90ae0fcb00a3afe,445,t,f,,NAPTTPR29-SIP-TRUNK,NULL,
